Search Key,Name,Description,Account Type,Account Sign,Document Controlled,Summary Level,Default Account,Parent_Value,Element Level,Operands,Show Value Condition,Title Node
L0303,Other Longterm Liabilities,Other Longterm Liabilities,Liability,Credit,false,true,,L03,D,,Algebraic,false
L0304,Longterm Provisions,Longterm Provisions,Liability,Credit,false,true,,L03,D,,Algebraic,false
L04,Current Liabilities,Current Liabilities,Liability,Credit,false,true,,L,E,,Algebraic,false
L0401,Short-term borrowings,Short-term borrowings,Liability,Credit,false,true,,L04,D,,Algebraic,false
L0402,Trade payables,Trade payables,Liability,Credit,false,true,,L04,D,,Algebraic,false
L040201,Sundry Creditors,Sundry Creditors,Liability,Credit,false,true,,L0402,C,,Algebraic,false
L04020198,Sundry Creditors Suspense A/C,Sundry Creditors Suspense A/C,Liability,Credit,true,false,V_LIABILITY_ACCT,L040201,S,,Algebraic,false
L04020199,Not Invoiced Receipts,Not Invoiced Receipts,Liability,Credit,true,false,NOTINVOICEDRECEIPTS_ACCT,L040201,S,,Algebraic,false
L040202,Tax Liabilities,Tax Liabilities,Liability,Credit,false,true,,L0402,D,,Algebraic,false
L04020201,Service Tax,Service Tax,Liability,Credit,false,true,,L040202,C,,Algebraic,false
L0402020101,Consolidated Service Tax @ 14% - Output,Consolidated Service Tax @ 14% - Output,Liability,Credit,true,false,,L04020201,S,,Algebraic,false
L0402020104,Consolidated Service Tax @ 14% - Input,Consolidated Service Tax @ 14% - Input,Asset,Debit,true,false,,L04020201,S,,Algebraic,false
L0402020107,ST Control Account,ST Control Account,Liability,Credit,true,false,,L04020201,S,,Algebraic,false
L04020202,CST,CST,Liability,Credit,false,true,,L040202,C,,Algebraic,false
L0402020201,CST  2%,CST  2%,Liability,Credit,true,false,,L04020202,S,,Algebraic,false
L0402020202,CST 14.5%,CST 14.5%,Liability,Credit,true,false,,L04020202,S,,Algebraic,false
L04020203,VAT,VAT,Liability,Credit,false,true,,L040202,C,,Algebraic,false
L0402020301,VAT 5.5% - Output,VAT 5.5% - Output,Liability,Credit,true,false,,L04020203,S,,Algebraic,false
L0402020302,VAT 14.5% - Output,VAT 14.5% - Output,Liability,Credit,true,false,,L04020203,S,,Algebraic,false
L0402020303,VAT 5.5% - Input,VAT 5.5% - Input,Liability,Credit,true,false,,L04020203,S,,Algebraic,false
L0402020304,VAT 14.5% - Input,VAT 14.5% - Input,Liability,Credit,true,false,,L04020203,S,,Algebraic,false
L0402020305,VAT Control Account,VAT Control Account,Liability,Credit,true,false,,L04020203,S,,Algebraic,false
L04020204,Professional Tax,Professional Tax,Liability,Credit,false,true,,L040202,C,,Algebraic,false
L0402020401,Professional Tax,Professional Tax,Liability,Credit,true,false,,L04020204,S,,Algebraic,false
L04020205,Excise Duty,Excise Duty,Liability,Credit,false,true,,L040202,C,,Algebraic,false
L0402020501,Basic Excise Duty ? 12% - Output,Basic Excise Duty ? 12% - Output,Liability,Credit,true,false,,L04020205,S,,Algebraic,false
L0402020502,Education Cess ? 2% - Output,Education Cess ? 2% - Output,Liability,Credit,true,false,,L04020205,S,,Algebraic,false
L0402020503,Secondary & Higher Education Cess ? 1% - Output,Secondary & Higher Education Cess ? 1% - Output,Liability,Credit,true,false,,L04020205,S,,Algebraic,false
L0402020504,Basic Excise Duty ? 12% - Input,Basic Excise Duty ? 12% - Input,Liability,Credit,true,false,,L04020205,S,,Algebraic,false
L0402020505,Education Cess ? 2% - Input,Education Cess ? 2% - Input,Liability,Credit,true,false,,L04020205,S,,Algebraic,false
L0402020506,Secondary & Higher Education Cess ? 1% - Input,Secondary & Higher Education Cess ? 1% - Input,Liability,Credit,true,false,,L04020205,S,,Algebraic,false
L04020206,Income Tax Payable,Income Tax Payable,Liability,Credit,false,true,,L040202,C,,Algebraic,false
L04020207,TDS Payable,TDS Payable,Liability,Credit,false,true,,L040202,C,,Algebraic,false
L0402020701,192B - Salaries,192B - Salaries,Liability,Credit,true,false,,L04020207,S,,Algebraic,false
L0402020702,194C- contract HUF/Individual,194C- contract HUF/Individual,Liability,Credit,true,false,,L04020207,S,,Algebraic,false
L0402020703,194J - professional and technical services,194J - professional and technical services,Liability,Credit,true,false,,L04020207,S,,Algebraic,false
L0402020704,194I  - Rent,194I  - Rent,Liability,Credit,true,false,,L04020207,S,,Algebraic,false
L04020208,Other Taxes,Other Taxes,Liability,Credit,false,true,,L040202,C,,Algebraic,false
L0402020801,Other Taxes A/C,Other Taxes A/C,Liability,Credit,true,false,T_DUE_ACCT,L04020208,S,,Algebraic,false
L0403,Other current liabilities,Other current liabilities,Liability,Credit,false,true,,L04,D,,Algebraic,false
L040301,Statutory contribution,Statutory contribution,Liability,Credit,false,true,,L0403,C,,Algebraic,false
L04030101,Employee Contribution to Provident Fund,Employee Contribution to Provident Fund,Liability,Credit,true,false,,L040301,S,,Algebraic,false
L04030102,Employer Contribution to Provident Fund,Employer Contribution to Provident Fund,Liability,Credit,true,false,,L040301,S,,Algebraic,false
L04030103,PF ? Administration Charges,PF ? Administration Charges,Liability,Credit,true,false,,L040301,S,,Algebraic,false
L04030104,Employee Contribution to ESIC,Employee Contribution to ESIC,Liability,Credit,true,false,,L040301,S,,Algebraic,false
L04030105,Employer Contribution to ESIC,Employer Contribution to ESIC,Liability,Credit,true,false,,L040301,S,,Algebraic,false
L04030106,ESIC Admin Charges,ESIC Admin Charges,Liability,Credit,true,false,,L040301,S,,Algebraic,false
L0404,Short-term provisions,Short-term provisions,Liability,Credit,false,true,,L04,D,,Algebraic,false
LT,Equity and Liabilities Total,Equity and Liabilities Total,Liability,Credit,false,true,,,E,L01+L02+L03+L04,Algebraic,false
A,ASSETS,ASSETS,Asset,Debit,false,true,,,E,,Algebraic,false
A01,Non-Current Assets,Non-Current Assets,Asset,Debit,false,true,,A,E,,Algebraic,false
A0101,Fixed Assets,Fixed Assets,Asset,Debit,false,true,,A01,D,,Algebraic,false
